order,worksheet_label,labsolutions_compound_name,metrc_target_analyte_label,metrc_mapping_rule,metrc_units_found_in_template,metrc_template_locations,raw_plant_and_concentrate_export_unit,infused_product_export_unit,qbench_export_value_rule,metrc_notes
11,Eucalyptol,Eucalyptol,Eucalyptol,direct,%; mg/g,Additional-Terpenes (%)!C16 [%]; Additional-Terpenes (mg_g)!C16 [mg/g]; Full Panel (Conc.) Tribal Only!C127 [%]; Full Panel (FinPrd) Tribal Only!C129 [%]; Full Panel (Flower) Tribal Only!C129 [%]; R&D Terpenes!C16 [%]; Sub-Contract - Terpenes (ConEx)!C9 [%]; Sub-Contact - Terpenes(Infused)!C9 [mg/g]; Sub-Contract - Terpenes (RawPM)!C9 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,"SOP synonym 1,8-Cineole maps to Eucalyptol in METRC."
12,γ-Terpinene,Gamma terpinene,Gamma-Terpinene,direct,%; mg/g,Additional-Terpenes (%)!C19 [%]; Additional-Terpenes (mg_g)!C19 [mg/g]; Full Panel (Conc.) Tribal Only!C130 [%]; Full Panel (FinPrd) Tribal Only!C132 [%]; Full Panel (Flower) Tribal Only!C132 [%]; R&D Terpenes!C19 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,Greek gamma normalized to Gamma.
13,Terpinolene,Terpinolene,Terpinolene,direct,%; mg/g,Additional-Terpenes (%)!C31 [%]; Additional-Terpenes (mg_g)!C31 [mg/g]; Full Panel (Conc.) Tribal Only!C141 [%]; Full Panel (FinPrd) Tribal Only!C144 [%]; Full Panel (Flower) Tribal Only!C144 [%]; R&D Terpenes!C31 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,
14,Linalool,Linalool,Linalool,direct,%; mg/g,Additional-Terpenes (%)!C24 [%]; Additional-Terpenes (mg_g)!C24 [mg/g]; Full Panel (Conc.) Tribal Only!C134 [%]; Full Panel (FinPrd) Tribal Only!C137 [%]; Full Panel (Flower) Tribal Only!C137 [%]; R&D Terpenes!C24 [%]; Sub-Contract - Terpenes (ConEx)!C11 [%]; Sub-Contact - Terpenes(Infused)!C11 [mg/g]; Sub-Contract - Terpenes (RawPM)!C11 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,
15,(-)-Isopulegol,(-)-Isopulegol,Isopulegol,direct,%; mg/g,Additional-Terpenes (%)!C22 [%]; Additional-Terpenes (mg_g)!C22 [mg/g]; Full Panel (Conc.) Tribal Only!C132 [%]; Full Panel (FinPrd) Tribal Only!C135 [%]; Full Panel (Flower) Tribal Only!C135 [%]; R&D Terpenes!C22 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,METRC label omits (-)- stereochemical prefix.
16,Geraniol,Geraniol,Geraniol,direct,%; mg/g,Additional-Terpenes (%)!C20 [%]; Additional-Terpenes (mg_g)!C20 [mg/g]; Full Panel (Conc.) Tribal Only!C131 [%]; Full Panel (FinPrd) Tribal Only!C133 [%]; Full Panel (Flower) Tribal Only!C133 [%]; R&D Terpenes!C20 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,
17,β-Caryophyllene,beta-Caryophyllene,Beta-Caryophyllene,direct,%; mg/g,Additional-Terpenes (%)!C8 [%]; Additional-Terpenes (mg_g)!C8 [mg/g]; Full Panel (Conc.) Tribal Only!C115 [%]; Full Panel (FinPrd) Tribal Only!C116 [%]; Full Panel (Flower) Tribal Only!C115 [%]; R&D Terpenes!C8 [%]; Sub-Contract - Terpenes (ConEx)!C5 [%]; Sub-Contact - Terpenes(Infused)!C5 [mg/g]; Sub-Contract - Terpenes (RawPM)!C5 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,
18,α-Humulene,alpha-Humulene,Alpha-Humulene,direct,%; mg/g; ppm,Additional-Terpenes (%)!C2 [%]; Additional-Terpenes (mg_g)!C2 [mg/g]; Full Panel (Conc.) Tribal Only!C109 [%]; Full Panel (FinPrd) Tribal Only!C110 [%]; Full Panel (Flower) Tribal Only!C109 [%]; R&D Terpenes!C2 [ppm]; Sub-Contract - Terpenes (ConEx)!C2 [%]; Sub-Contact - Terpenes(Infused)!C2 [mg/g]; Sub-Contract - Terpenes (RawPM)!C2 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,R&D Terpenes tab has Alpha-Humulene as ppm; all other terpene panels use % or mg/g. Treat as a template issue until confirmed.
19,cis-Nerolidol,Nerolidol 1,Cis-Nerolidol,direct,%; mg/g,Additional-Terpenes (%)!C13 [%]; Additional-Terpenes (mg_g)!C13 [mg/g]; Full Panel (Conc.) Tribal Only!C121 [%]; Full Panel (FinPrd) Tribal Only!C123 [%]; Full Panel (Flower) Tribal Only!C123 [%]; R&D Terpenes!C13 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,METRC has an explicit Cis-Nerolidol row.
20,trans-Nerolidol,Nerolidol 2,Nerolidol,direct_assumed_trans,%; mg/g,Additional-Terpenes (%)!C25 [%]; Additional-Terpenes (mg_g)!C25 [mg/g]; Full Panel (Conc.) Tribal Only!C135 [%]; Full Panel (FinPrd) Tribal Only!C138 [%]; Full Panel (Flower) Tribal Only!C138 [%]; R&D Terpenes!C25 [%]; Sub-Contract - Terpenes (ConEx)!C12 [%]; Sub-Contact - Terpenes(Infused)!C12 [mg/g]; Sub-Contract - Terpenes (RawPM)!C12 [%],%,mg/g,Export trans-Nerolidol/Nerolidol 2 into generic METRC Nerolidol field unless total Nerolidol is later required.,METRC template has generic Nerolidol but no Trans-Nerolidol. Map LabSolutions Nerolidol 2/trans-Nerolidol to generic Nerolidol unless method owner requires total Nerolidol.
21,(-)-Guaiol,(-)-Guaiol,Guaiol,direct,%; mg/g,Additional-Terpenes (%)!C21 [%]; Additional-Terpenes (mg_g)!C21 [mg/g]; Full Panel (FinPrd) Tribal Only!C134 [%]; Full Panel (Flower) Tribal Only!C134 [%]; R&D Terpenes!C21 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,METRC label omits (-)- stereochemical prefix.
22,Caryophyllene Oxide,Caryophyllene oxide,Caryophyllene Oxide,direct,%; mg/g,Additional-Terpenes (%)!C12 [%]; Additional-Terpenes (mg_g)!C12 [mg/g]; Full Panel (Conc.) Tribal Only!C119 [%]; Full Panel (FinPrd) Tribal Only!C121 [%]; Full Panel (Flower) Tribal Only!C121 [%]; R&D Terpenes!C12 [%]; Sub-Contract - Terpenes (ConEx)!C8 [%]; Sub-Contact - Terpenes(Infused)!C8 [mg/g]; Sub-Contract - Terpenes (RawPM)!C8 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,
23,(-)-α-Bisabolol,(-)-alpha-Bisabolol,Alpha-Bisabolol,direct,%; mg/g,Additional-Terpenes (%)!C1 [%]; Additional-Terpenes (mg_g)!C1 [mg/g]; Full Panel (Conc.) Tribal Only!C108 [%]; Full Panel (FinPrd) Tribal Only!C109 [%]; Full Panel (Flower) Tribal Only!C108 [%]; R&D Terpenes!C1 [%]; Sub-Contract - Terpenes (ConEx)!C1 [%]; Sub-Contact - Terpenes(Infused)!C1 [mg/g]; Sub-Contract - Terpenes (RawPM)!C1 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,METRC label omits (-)- and uses Alpha.
