resource_group_id,resource_group_name,display_sequence,inventory_item_id,item_name,category_id,default_quantity,units,size,evidence_url
5,Heavy Metals Analysis,20,222,HM - CCV,10,,mL,40,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,21,223,HM - ICV,10,,mL,40,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,22,247,HM - I.C. Water,3,,mL,5000,https://ait.qbench.net/resourcegroup?id=5#items
6,Mycotoxin Analysis,1,116,"Acetonitrile, HPLC (Concord)",3,,mL,4000,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,2,137,"Formic Acid, LCMS",4,,mL,50,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,3,158,"Methanol, LCMS",3,,mL,4000,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,4,161,P/M - Mycotoxin Mixture 5 Std,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,5,175,"Pressurized Gas, Argon",5,,tank,1,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,6,177,CP - Unbuffered QuEChERS 5.0g,5,,packs,50,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,7,199,CP - Captiva EMR Filter Tubes,5,,tubes,100,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,8,211,"Water, LC-MS (Fisher)",3,,mL,4000,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,9,224,P/M - Mobile Phase A,10,,mL,2000,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,10,226,P/M - Mycotoxin Mix (M Mix),10,,uL,1000,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,11,227,P/M - 1% Formic Acid ACN Sol.,10,,mL,50.5,https://ait.qbench.net/resourcegroup?id=6#items
6,Mycotoxin Analysis,12,276,P/M - Raptor ARC-18 Column,5,,columns,1,https://ait.qbench.net/resourcegroup?id=6#items
7,Residual Solvents Analysis,1,131,"RS - DMAC, Dimethylacetamide",3,,mL,1000,https://ait.qbench.net/resourcegroup?id=7#items
7,Residual Solvents Analysis,2,176,"Pressurized Gas, Helium",5,,tank,1,https://ait.qbench.net/resourcegroup?id=7#items
7,Residual Solvents Analysis,3,228,Blank Hemp Oil Matrix,5,,g,100,https://ait.qbench.net/resourcegroup?id=7#items
7,Residual Solvents Analysis,4,229,RS - Residual Solv. VOC Mix,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=7#items
7,Residual Solvents Analysis,5,230,RS - Residual Solvents Mix #1,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=7#items
7,Residual Solvents Analysis,6,231,RS/Terpenes - GC Column SH-I-624Sil MS Capillary,5,,columns,1,https://ait.qbench.net/resourcegroup?id=7#items
8,Cannabinoid Potency Analysis,1,114,CP - 80:20 ACN:H2O Sol.,10,,mL,250,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,2,116,"Acetonitrile, HPLC (Concord)",3,,mL,4000,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,3,125,"Cellulose powder, microcrystallline",5,,g,1000,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,4,129,CP - 13-Cannabinoid Mix,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,5,137,"Formic Acid, LCMS",4,,mL,50,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,6,149,"Isopropyl Alcohol, LCMS",3,,mL,4000,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,7,153,LaCroix Beverage,5,,mL,355,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,8,162,CP - LC Column NexLeaf CBX,5,,column,1,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,9,165,"Blank Olive Oil Matrix, neat",5,,g,2.5,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,10,174,Blank Powdered Gelatin Mix Matrix,5,,g,,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,11,177,CP - Unbuffered QuEChERS 5.0g,5,,packs,50,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,12,178,CP - Unbuffered QuEChERS 7.5g,5,,packs,50,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,13,199,CP - Captiva EMR Filter Tubes,5,,tubes,100,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,14,211,"Water, LC-MS (Fisher)",3,,mL,4000,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,15,250,CP - Mobile Phase A,10,,mL,2000,https://ait.qbench.net/resourcegroup?id=8#items
8,Cannabinoid Potency Analysis,16,251,CP - Mobile Phase B,10,,mL,5000,https://ait.qbench.net/resourcegroup?id=8#items
9,Pest Myco (Qualitative) Analysis,1,116,"Acetonitrile, HPLC (Concord)",3,,mL,4000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,2,117,P/M - Ammonium Fluoride,4,,g,50,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,3,119,P/M - Azadirachtin Std,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,4,126,P/M - Chlormequat Std,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,5,137,"Formic Acid, LCMS",4,,mL,50,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,6,161,P/M - Mycotoxin Mixture 5 Std,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,7,167,P/M - Oregon Pesticide Std #1,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,8,168,P/M - Oregon Pesticide Std #2,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,9,169,P/M - Oregon Pesticide Std #3,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,10,170,P/M - Oregon Pesticide Std #4,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,11,171,P/M - Oregon Pesticide Std #5,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,12,172,P/M - Oregon Pesticide Std #6,6,,uL,1000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,13,175,"Pressurized Gas, Argon",5,,tank,1,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,14,224,P/M - Mobile Phase A,10,,mL,2000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,15,225,P/M - Ammonium Formate,5,,mg,25000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,16,227,P/M - 1% Formic Acid ACN Sol.,10,,mL,50.5,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,17,248,P/M - Pest/Myco Mix (PM Mix),10,,uL,12000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,18,249,P/M - Pesticide Mix (P Mix),10,,uL,3000,https://ait.qbench.net/resourcegroup?id=9#items
9,Pest Myco (Qualitative) Analysis,19,276,P/M - Raptor ARC-18 Column,5,,columns,1,https://ait.qbench.net/resourcegroup?id=9#items
10,Gene Up Microbial Analysis,1,252,Micro - Potato Dextrose Broth,4,,mL,1000,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,2,253,Micro - LPT Broth,4,,mL,225,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,3,254,Micro - Chlortetracycline,4,,vials,5,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,4,255,Micro - Dicloran,4,,g,100,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,5,256,Micro - GENE-UP Sal/STEC Kit,5,,tubes,24,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,6,257,Micro - GENE-UP® Lysis Kit,5,,tubes,192,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,7,258,Micro - GENE-UP® L Mono. Kit,5,,tubes,192,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,8,259,Micro - GENE-UP Aspergillus Kit,5,,tubes,24,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,9,264,Micro - PDB Powder,4,,g,250,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,10,265,Micro - Peptone Salt Broth,4,,tubes,100,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,11,267,Micro - Buffered Peptone H2O 225mL,4,,mL,225,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,12,278,Micro - Potato Dextrose w/ CTC,4,,mL,20000,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,13,279,"Micro - Buffered Peptone H2O, Boxed",4,,mL,"5000, 10000, or 20000",https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,14,291,Micro - DNA Control Lysteria Monocytogenes,5,,vials,1,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,15,292,Micro - DNA Control GENE-UP Aspergillus,,,vials,1,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,16,293,Micro - DNA Control VERIFLOW E. Coli,5,,vials,1,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,17,294,Micro - DNA Control VERIFLOW Salmonella,5,,vials,1,https://ait.qbench.net/resourcegroup?id=10#items
10,Gene Up Microbial Analysis,18,298,"Micro - Demi-Fraser w/ Supp, Boxed",4,,mL,10000,https://ait.qbench.net/resourcegroup?id=10#items
11,Tempo Microbial Analysis,1,267,Micro - Buffered Peptone H2O 225mL,4,,mL,225,https://ait.qbench.net/resourcegroup?id=11#items
11,Tempo Microbial Analysis,2,269,Micro - Tempo EB Cards,5,,cards,48,https://ait.qbench.net/resourcegroup?id=11#items
11,Tempo Microbial Analysis,3,270,Micro - Tempo AC Cards,5,,cards,48,https://ait.qbench.net/resourcegroup?id=11#items
11,Tempo Microbial Analysis,4,271,Micro - Tempo YM Cards,5,,cards,48,https://ait.qbench.net/resourcegroup?id=11#items
11,Tempo Microbial Analysis,5,272,"Micro - Water, Deionized Type II",3,,mL,20000,https://ait.qbench.net/resourcegroup?id=11#items
11,Tempo Microbial Analysis,6,288,Micro - Bioballs Escherichia Coli Control,5,,vials,20,https://ait.qbench.net/resourcegroup?id=11#items
11,Tempo Microbial Analysis,7,289,Micro - Bioballs Candida Albicans Control,5,,vials,20,https://ait.qbench.net/resourcegroup?id=11#items
11,Tempo Microbial Analysis,8,290,Micro - Bioballs Enterobacteria Klebsiella Aerogenes Control,5,,vials,20,https://ait.qbench.net/resourcegroup?id=11#items
