resource_group_id,resource_group_name,display_sequence,equipment_id,internal_code,equipment_type,auto_use,evidence_url
6,Mycotoxin Analysis,5,24,LCMS201,LCMS,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,6,30,P201,Microman,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,7,31,P202,Microman,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,8,32,P203,Microman,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,9,33,P204,Microman,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,10,34,P205,Microman,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,11,35,P206,Microman,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,12,36,P207,Microman,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,13,37,P208,Microman,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,14,42,P213,Pipetman,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,15,43,P214,Repeater,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,16,44,P215,Repeater,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,17,47,PPM201,Multi-Tube Manifold,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,18,62,V201,Multi-Tube Vortexer,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,19,63,V202,Multi-Tube Vortexer,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,20,65,V204,Single-Tube Vortexer,false,https://ait.qbench.net/resourcegroup?id=6#equipments
7,Residual Solvents Analysis,1,6,B202,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,2,7,B203,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,3,16,F202,Single Door Freezer,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,4,19,GCMS201,GCMS,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,5,30,P201,Microman,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,6,31,P202,Microman,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,7,32,P203,Microman,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,8,33,P204,Microman,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,9,34,P205,Microman,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,10,35,P206,Microman,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,11,36,P207,Microman,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,12,37,P208,Microman,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,13,42,P213,Pipetman,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,14,43,P214,Repeater,false,https://ait.qbench.net/resourcegroup?id=7#equipments
7,Residual Solvents Analysis,15,44,P215,Repeater,false,https://ait.qbench.net/resourcegroup?id=7#equipments
8,Cannabinoid Potency Analysis,1,5,B201,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,2,6,B202,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,3,7,B203,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,4,10,C201,Refrigerated Centrifuge,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,5,12,C203,Non-refrigerated Centrifuge,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,6,13,D201,Bottle-top Dispenser,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,7,14,D202,Bottle-top Dispenser,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,8,20,HPLC01,HPLC,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,9,26,MBB201,Blender,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,10,27,MBB202,Blender,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,11,29,MS04,Digital Stir Plate,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,12,30,P201,Microman,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,13,31,P202,Microman,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,14,32,P203,Microman,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,15,33,P204,Microman,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,16,34,P205,Microman,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,17,35,P206,Microman,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,18,36,P207,Microman,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,19,37,P208,Microman,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,20,42,P213,Pipetman,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,21,43,P214,Repeater,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,22,44,P215,Repeater,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,23,47,PPM201,Multi-Tube Manifold,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,24,50,S201,Ultrasonic Bath,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,25,62,V201,Multi-Tube Vortexer,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,26,63,V202,Multi-Tube Vortexer,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,27,65,V204,Single-Tube Vortexer,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,28,88,MS201,Digital Stir Plate,false,https://ait.qbench.net/resourcegroup?id=8#equipments
8,Cannabinoid Potency Analysis,29,89,MS202,Digital Stir Plate,false,https://ait.qbench.net/resourcegroup?id=8#equipments
9,Pest Myco (Qualitative) Analysis,1,6,B202,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,2,7,B203,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,3,24,LCMS201,LCMS,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,4,30,P201,Microman,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,5,31,P202,Microman,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,6,32,P203,Microman,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,7,33,P204,Microman,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,8,34,P205,Microman,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,9,35,P206,Microman,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,10,36,P207,Microman,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,11,37,P208,Microman,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,12,42,P213,Pipetman,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,13,43,P214,Repeater,false,https://ait.qbench.net/resourcegroup?id=9#equipments
9,Pest Myco (Qualitative) Analysis,14,44,P215,Repeater,false,https://ait.qbench.net/resourcegroup?id=9#equipments
10,Gene Up Microbial Analysis,1,18,FH202,Self-contained Flow Hood,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,2,21,I201,Large Incubator,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,3,22,I202,Large Incubator,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,4,38,P209,Pipetman,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,5,39,P210,Pipetman,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,6,40,P211,Pipetman,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,7,41,P212,Pipetman,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,8,45,PCR201,Gene-Up,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,9,46,PF201,Serological Pipette Filler,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,10,66,V205,Single-Tube Vortexer,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,11,70,B01,Top-Loading Balance,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,12,81,P216,Micro Pipette,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,13,82,P217,Multi-Channel Pipette,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,14,83,PS201,Plate Spinner,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,15,85,V206,Advanced Vortex Mixer,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,16,94,I203,Large Incubator,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,17,95,PD201,Flexi Pump,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,18,96,H201,Sample Bag Homogenizer,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,19,99,PLD201,Photolysis Device,false,https://ait.qbench.net/resourcegroup?id=10#equipments
10,Gene Up Microbial Analysis,20,100,RM201,Fixed Speed Rotating Mixer,false,https://ait.qbench.net/resourcegroup?id=10#equipments
11,Tempo Microbial Analysis,1,18,FH202,Self-contained Flow Hood,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,2,38,P209,Pipetman,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,3,39,P210,Pipetman,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,4,40,P211,Pipetman,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,5,41,P212,Pipetman,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,6,46,PF201,Serological Pipette Filler,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,7,64,V203,Single-Tube Vortexer,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,8,66,V205,Single-Tube Vortexer,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,9,70,B01,Top-Loading Balance,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,10,74,D203,Bottle-top Dispenser,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,11,75,D204,Bottle-top Dispenser,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,12,76,D205,Bottle-top Dispenser,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,13,77,D206,Bottle-top Dispenser,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,14,78,E201,Enumeration System,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,15,79,E202,Enumeration System,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,16,94,I203,Large Incubator,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,17,95,PD201,Flexi Pump,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,18,96,H201,Sample Bag Homogenizer,false,https://ait.qbench.net/resourcegroup?id=11#equipments
11,Tempo Microbial Analysis,19,97,I204,Small Incubator,false,https://ait.qbench.net/resourcegroup?id=11#equipments
