worksheet_id,worksheet_name,worksheet_type,current_list_status,prior_present,comparison_class,prior_version_count,current_version_count,version_count_delta,added_version_ids,removed_version_ids,prior_active_version_id,prior_active_version_number,prior_active_status,current_active_version_id,current_active_version_number,current_active_status,active_transition,newer_nonactive_versions,current_no_active,current_no_version,export_required_count,native_export_state,structural_comparison,note
13,Pesticides (Quantitative) [Batch] Worksheet,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,5,5,0,,,298,5,APPROVED,298,5,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
14,Pesticides (Qualitative) [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,26,30,4,637;680;681;700,,634,26,APPROVED,681,29,APPROVED,changed,v30 DRAFT (id 700),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
15,Pesticide_Myco (Qualitative) [Batch] Worksheet,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,13,13,0,,,635,13,APPROVED,635,13,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
16,Pesticides (Quantitative) [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,6,7,1,682,,593,6,APPROVED,682,7,APPROVED,changed,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
20,[Logs] Daily Balance Verification | Capacity XYg - 2,Spreadsheet,Active,true,version_metadata_unchanged,3,3,0,,,27,3,APPROVED,27,3,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
21,[Logs] Daily Balance Verification | XXg x XXg,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,29,2,APPROVED,29,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
23,Water Activity [Protocol WS] Clean Equipment,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,51,2,APPROVED,51,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
24,Water Activity [Protocol WS] Meter Verification,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,6,6,0,,,493,6,APPROVED,493,6,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
25,Water Activity [Protocol WS] Sample Analysis,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,6,6,0,,,172,6,APPROVED,172,6,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
26,[Protocol Step WS] Assigning Equipment to Batch,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,56,1,APPROVED,56,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
27,[Protocol Step WS] Assigning Inventory to Batch,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,58,2,APPROVED,58,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
28,Water Activity [Test WS],Dynamic Spreadsheet,Active,true,versions_added_active_changed,14,16,2,690;712,,594,13,APPROVED,690,15,APPROVED,changed,v16 DRAFT (id 712),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
29,Water Activity [Batch WS],Dynamic Spreadsheet,Active,true,version_metadata_unchanged,13,13,0,,,481,13,APPROVED,481,13,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
31,Foreign Material [Test WS],Dynamic Spreadsheet,Active,true,versions_added_active_changed,10,11,1,703,,327,9,APPROVED,566,10,APPROVED,changed,v11 DRAFT (id 703),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
32,Cannabinoid Potency {Protocol WS} Preparation of Lab Control Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,66,2,APPROVED,66,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
33,Cannabinoid Potency {Protocol WS} Preparation of Flower/Plant Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,5,5,0,,,628,5,APPROVED,628,5,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
34,Cannabinoid Potency {Protocol WS} Preparation of Flower/Plant Samples Vortex/Sonicate,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,71,2,APPROVED,71,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
35,Cannabinoid Potency {Protocol WS} Preparation of Flower/Plant Samples Centrifuge,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,6,6,0,,,80,6,APPROVED,80,6,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
36,Cannabinoid Potency {Protocol WS} Preparation of Flower/Plant Samples Filter,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,5,5,0,,,629,5,APPROVED,629,5,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
37,Cannabinoid Potency {Protocol WS} HPLC Setup and Measurement,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,82,2,APPROVED,82,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
38,Cannabinoid Potency {Protocol WS} Quality Control Requirements,Dynamic Spreadsheet,Active,true,versions_added_active_changed,5,6,1,666,,620,5,APPROVED,666,6,APPROVED,changed,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
39,Cannabinoid Potency {Protocol WS} Calculations and Reporting of Results,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,7,7,0,,,551,7,APPROVED,551,7,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
40,General {Protocol WS} Instrument Output and QBench Upload of Results,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,89,1,APPROVED,89,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
41,Cannabis/Hemp {Protocol WS} Overall Chemist Review of Batch,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,0,0,0,,,,,,,,,remains_no_active,,true,true,0,not_applicable_no_version,not_performed_native_exports_blocked,No versions in either scan; Export Spreadsheet control present but no version is available.
42,Terpenes [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,5,15,10,639;658;664;665;671;673;674;686;691;709,,313,4,APPROVED,691,14,APPROVED,changed,v15 DRAFT (id 709),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
43,Terpenes [Batch] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,3,5,2,640;657,,95,2,APPROVED,657,5,APPROVED,changed,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
44,Microbial Analysis [Test] Worksheet,Dynamic Spreadsheet,Inactive,true,version_metadata_unchanged,7,7,0,,,229,7,APPROVED,229,7,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
45,Microbial Analysis [Batch] Worksheet,Dynamic Spreadsheet,Inactive,true,version_metadata_unchanged,1,1,0,,,,,,,,,remains_no_active,,true,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,No active version; latest draft/pending version is the policy-selected export target.
46,"Heavy Metals [Protocol WS] Preparation of the Blank, Fortified Blank, Matrix, and Matrix Spike Solutions",Dynamic Spreadsheet,Active,true,version_metadata_unchanged,3,3,0,,,621,3,APPROVED,621,3,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
47,Heavy Metals [Protocol WS] Preparation of Samples Prior to Digestion,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,104,2,APPROVED,104,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
48,Heavy Metals [Protocol WS] Preparation of Samples After Digestion,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,105,1,APPROVED,105,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
49,Heavy Metals [Protocol WS] Instrument Setup,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,107,2,APPROVED,107,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
50,Heavy Metals [Protocol WS] Analysis Elements and Mass Registration & Assay,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,3,3,0,,,110,3,APPROVED,110,3,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
51,Heavy Metals [Protocol WS] Quality Control Requirements,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,4,4,0,,,622,4,APPROVED,622,4,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
53,Heavy Metals [Protocol WS] Calculating and Reporting of Results,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,179,1,APPROVED,179,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
54,Residual Solvents [Protocol WS] Sample Preparation,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,181,1,APPROVED,181,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
55,Residual Solvents [Protocol WS] Instrument Setup & Measurement,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,183,2,APPROVED,183,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
56,Residual Solvents [Protocol WS] Quality Control Requirements,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,184,1,APPROVED,184,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
57,Residual Solvents [Protocol WS] Calculations and Reporting of Results,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,185,1,APPROVED,185,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
58,Foreign Material [Protocol WS] Perform FM Testing,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,194,2,APPROVED,194,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
59,Preparation of Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,,,,,,,remains_no_active,,true,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,No active version; latest draft/pending version is the policy-selected export target.
60,Mycotoxins [Protocol WS] Preparation of Lab Control Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,208,1,APPROVED,208,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
61,Mycotoxins [Protocol WS] Preparation of Sample | Weigh & Vortex,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,213,2,APPROVED,213,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
62,Mycotoxins [Protocol WS] Preparation of Sample | Centrifuge & Positive Pressure,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,3,3,0,,,267,3,APPROVED,267,3,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
63,Mycotoxin [Protocol WS] Preparation of Standards,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,215,2,APPROVED,215,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
64,Mycotoxin [Protocol WS] LC-MS/MS Setup and Measurement,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,216,2,APPROVED,216,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
65,Mycotoxin [Protocol WS] Laboratory Controls,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,3,3,0,,,219,3,APPROVED,219,3,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
66,Mycotoxin [Protocol WS] Calculations and Reporting of Results,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,220,1,APPROVED,220,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
67,METRC Worksheet,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,,,,,,,remains_no_active,,true,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,No active version; latest draft/pending version is the policy-selected export target.
68,test,QWML,Active,true,version_metadata_unchanged,0,0,0,,,,,,,,,remains_no_active,,true,true,0,not_applicable_no_version,not_performed_native_exports_blocked,QWML object; no versions; native Export Spreadsheet control absent.
69,Homogeneity [Protocol WS] Pre-Conditions & QBench Setup,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,233,1,APPROVED,233,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
70,Homogeneity [Protocol WS] Sub-Sampling,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,237,2,APPROVED,237,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
71,Homogeneity [Protocol WS] Run Cannabinoid Potency Tests,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,235,1,APPROVED,235,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
72,Homogeneity [Protocol WS] Homogeneity Evaluation & Reporting,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,236,1,APPROVED,236,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
73,Homogeneity [Test WS],Dynamic Spreadsheet,Active,true,versions_added_active_changed,12,17,5,636;638;641;668;670,,633,12,APPROVED,668,16,APPROVED,changed,v17 DRAFT (id 670),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
74,Pest Myco Qualitative [Protocol WS] Preparation of Laboratory Control Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,245,2,APPROVED,245,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
75,Pest Myco Qualitative [Protocol WS] Preparation of Samples,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,246,1,APPROVED,246,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
76,Pest Myco [Protocol WS] LC-MS/MS Setup and Measurement,Dynamic Spreadsheet,Active,true,versions_added_active_gained,0,2,2,653;654,,,,,654,2,APPROVED,gained,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,Previously had no versions; now has two approved versions and active v2; display name also changed.
77,Pest Myco (Qualitative) [Protocol WS] LC-MS/MS Setup and Measurement,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,247,1,APPROVED,247,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
78,Pest Myco (Qualitative) [Protocol WS] Laboratory Control Requirements,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,248,1,APPROVED,248,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
79,Pest Myco (Qualitative) [Protocol WS] Calculations and Reporting of Results,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,250,2,APPROVED,250,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,true,version_metadata_unchanged,9,9,0,,,548,9,APPROVED,548,9,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
81,Total Aspergillus Microbial Analysis [Test WS],Dynamic Spreadsheet,Active,true,versions_added_active_changed,26,28,2,689;701,,613,25,APPROVED,689,27,APPROVED,changed,v28 DRAFT (id 701),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
82,Salmonella & STEC Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,true,version_metadata_unchanged,7,7,0,,,370,7,APPROVED,370,7,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
83,Salmonella Species [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,8,10,2,684;707,,532,7,APPROVED,684,9,APPROVED,changed,v10 DRAFT (id 707),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
84,STEC [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,6,8,2,685;708,,522,5,APPROVED,685,7,APPROVED,changed,v8 DRAFT (id 708),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
85,Salmonella STEC [Protocol WS] Step 1,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,268,1,APPROVED,268,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
86,Listeria Monocytogenes [Batch] Worksheet,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,4,4,0,,,374,4,APPROVED,374,4,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
87,Listeria Monocytogenes [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,7,9,2,678;705,,530,6,APPROVED,678,8,APPROVED,changed,v9 DRAFT (id 705),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
88,Gene Up Microbial Analysis [Protocol] Worksheet Aspergillus Enriched Broth Preparation,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,339,2,APPROVED,339,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
89,Total Aerobic Count & Enterobacteriaceae & YM [Batch WS],Dynamic Spreadsheet,Active,true,version_metadata_unchanged,7,7,0,,,513,7,APPROVED,513,7,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
90,Gene Up Microbial Analysis [Protocol] Worksheet Sample Preparation (Aspergillus),Dynamic Spreadsheet,Active,true,version_metadata_unchanged,3,3,0,,,342,3,APPROVED,342,3,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
91,Gene Up Microbial Analysis [Protocol] Worksheet Sample Preparation (Sal/ STEC),Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,343,2,APPROVED,343,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
92,Gene Up Microbial Analysis [Protocol] Worksheet Sample Preparation (Listeria),Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,341,2,APPROVED,341,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
93,Total Aerobic Count [Test] WS,Dynamic Spreadsheet,Active,true,versions_added_active_changed,7,9,2,687;710,,533,6,APPROVED,687,8,APPROVED,changed,v9 DRAFT (id 710),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
94,Total Yeast and Mold {Test WS},Dynamic Spreadsheet,Active,true,versions_added_active_changed,8,10,2,688;711,,524,6,APPROVED,688,9,APPROVED,changed,v10 DRAFT (id 711),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
95,Enterobacteriaceae [Test] WS,Dynamic Spreadsheet,Active,true,versions_added_active_changed,13,15,2,677;702,,529,12,APPROVED,677,14,APPROVED,changed,v15 DRAFT (id 702),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
96,Gene Up Microbial Analysis [Protocol] Worksheet Sample Incubation,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,450,2,APPROVED,450,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
97,Gene Up Microbial Analysis [Protocol] Worksheet Sample Enrichment (Aspergillus),Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,346,2,APPROVED,346,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
98,Gene Up Microbial Analysis [Protocol] Worksheet Sample Lysis (Sal/ STEC and Listeria),Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,347,1,APPROVED,347,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
99,Gene Up Microbial Analysis [Protocol] Worksheet Gene Up PCR Program,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,348,1,APPROVED,348,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
100,Tempo Microbial Analysis [Protocol] Worksheet Sample Preparation,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,4,4,0,,,616,4,APPROVED,616,4,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
101,Tempo Microbial Analysis [Protocol] Worksheet Sample Incubation,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,5,5,0,,,617,5,APPROVED,617,5,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
102,Tempo Microbial Analysis [Protocol] Worksheet Sample Reading,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,618,2,APPROVED,618,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
103,[Logs] Daily Pipette Verification | 10 µL,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,379,2,APPROVED,379,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
104,[Logs] Daily Pipette Verification | 100 µL,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,380,2,APPROVED,380,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
105,[Logs] Daily Pipette Verification | 250 µL,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,382,2,APPROVED,382,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
106,[Logs] Daily Pipette Verification | 1 mL,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,377,2,APPROVED,377,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
107,[Logs] Daily Pipette Verification | 10 mL,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,378,2,APPROVED,378,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
108,[Logs] Daily Pipette Verification | 200 µL,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,381,2,APPROVED,381,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
109,[Logs] Daily Multichannel Pipette Verification | 10 µL,Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,376,2,APPROVED,376,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
110,[Logs] Daily Repeat Pipette Verification,Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,383,1,APPROVED,383,1,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
111,[Logs] Gene Up Self-Test,Dynamic Spreadsheet,Inactive,true,version_metadata_unchanged,2,2,0,,,,,,,,,remains_no_active,,true,false,0,not_required_by_version_policy,not_performed_native_exports_blocked,"No active version; highest/default version is rejected, so no export is required by policy."
