object_type,pane_id,field_id,label,api_system_name,field_classification,data_type,required_optional,read_only_writable,default_value_state,default_value,units,validation,option_source,key_value_store_association,formula,derived_behavior,conditional_visibility,layout_section,layout_group,display_order,display_state,active_inactive_state,global_division_definition,program_restriction,assay_restriction,matrix_restriction,external_system_mapping,report_usage,automation_usage,parser_usage
Order,fields-order,not_exposed,Date Approved,date_approved,not_exposed,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,not_exposed,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,11,visible_in_qbench_ui,not_separately_exposed,not_exposed,not_exposed,not_exposed,not_exposed,[],not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Date Requested,date_requested,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,not_exposed,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,12,visible_in_qbench_ui,not_separately_exposed,not_exposed,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Date Created,date_created,not_exposed,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,not_exposed,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,13,visible_in_qbench_ui,not_separately_exposed,not_exposed,not_exposed,not_exposed,not_exposed,[],not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Attachments,attachments,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,not_exposed,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,14,visible_in_qbench_ui,not_separately_exposed,not_exposed,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Promo Code,promo_code,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,15,hidden_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,METRC ID,metrc_uid,not_exposed,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,1,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,[],not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Sample Type,accessioning_type,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,2,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Sample Name,sample_name,additional,not_exposed_without_prohibited_edit_action,required,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,3,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Product Matrix MN OCM,product_matrix,additional,not_exposed_without_prohibited_edit_action,required,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,4,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,METRC Sample Type,METRC_SAMPLE_TYPE,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,5,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Level of Analysis,level_of_analysis,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_safe,Original,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,hidden_on_order_receiving,not_exposed,ungrouped_or_not_exposed,6,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Date Collected (Sampled),date_collected_sampled,additional,not_exposed_without_prohibited_edit_action,required,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,7,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Location,location,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,hidden_on_order_receiving,not_exposed,ungrouped_or_not_exposed,8,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Time of Collection,time_of_collection,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,9,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Point of Collection,point_of_collection,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,10,hidden_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Batch/Lot ID,batch_id,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,11,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Sample Type,sample_type,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,12,hidden_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Description,description,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,13,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Batch Size,batch_size,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,14,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Servings Per Container,servings_per_container,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,15,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Serving Size (g),units_per_serving,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,16,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Cannabis/Hemp Strain,strain,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,17,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Tags,tags,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,18,hidden_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Attachments,attachments,not_exposed,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,not_exposed,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,hidden_on_order_receiving,not_exposed,ungrouped_or_not_exposed,19,visible_in_qbench_ui,not_separately_exposed,not_exposed,not_exposed,not_exposed,not_exposed,[],not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Email To,email_to,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,20,hidden_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Comments,comments,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,ungrouped_or_not_exposed,21,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Lab ID,lab_id,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,22,hidden_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":false,""field_classification"":""core"",""target"":""lims""},{""configured"":false,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Source,source,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,hidden_on_order_receiving,not_exposed,ungrouped_or_not_exposed,23,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Product Label Amount - Total THC (If applicable),product_label_totalthc,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,Product Label Amounts,24,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Product Label Amount - Total CBD (If applicable),product_label_totalcbd,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,Product Label Amounts,25,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Sample,fields-sample,not_exposed,Product Label Amount - d9 THC (If applicable),product_label_thc,additional,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,shown_on_order_receiving,not_exposed,Product Label Amounts,26,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""additional"",""target"":""lims""},{""configured"":true,""field_classification"":""additional"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
