Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.,worksheet_label,reportable
21,13.904,13.862,13.974,132909,77668,1.711,24.403,V,18,beta-Caryophyllene,1.468,1592563,0.094,1.223,10.708,1.061,0.660615,0.882866,2.693,2.693,β-Caryophyllene,True
22,14.055,13.983,14.086,5646,3296,1.713,1.093,,19,alpha-Humulene,1.494,1776971,0.084,0.0,3.5,1.018,0.0280638,0.0374636,0.121,0.121,α-Humulene,True
23,14.157,14.086,14.231,110519,64327,1.718,21.401,V,19,alpha-Humulene,1.513,1681146,0.089,1.21,2.392,1.012,0.549323,0.731213,2.362,2.362,α-Humulene,True
24,14.394,14.305,14.422,9419,2231,4.222,5.027,V,20,Nerolidol 1,1.555,220200,0.681,0.0,2.856,1.028,0.0468156,0.0253573,0.555,0.555,cis-Nerolidol,True
25,14.443,14.422,14.492,7739,3441,2.249,4.13,V,20,Nerolidol 1,1.563,1003577,0.149,0.0,0.538,1.006,0.0384669,0.0391106,0.456,0.456,cis-Nerolidol,True
26,14.519,14.492,14.571,42343,23020,1.839,22.599,V,20,Nerolidol 1,1.577,1718835,0.087,0.0,1.509,1.009,0.210464,0.261668,2.494,2.494,cis-Nerolidol,True
27,14.629,14.609,14.646,5667,3531,1.605,2.026,V,21,Nerolidol 2,1.596,1370115,0.109,0.0,2.333,1.012,0.0281671,0.0401381,0.224,0.224,trans-Nerolidol,True
28,14.697,14.646,14.744,64271,36671,1.753,22.978,V,21,Nerolidol 2,1.608,2121408,0.071,0.845,1.501,1.008,0.319453,0.416841,2.536,2.536,trans-Nerolidol,True
29,15.025,14.791,15.08,34889,3771,9.252,8.098,V,22,(-)-Guaiol,1.667,43765,3.427,0.0,2.011,1.036,0.173415,0.0428658,0.894,0.894,(-)-Guaiol,True
30,15.113,15.08,15.178,99556,54493,1.827,23.107,V,22,(-)-Guaiol,1.682,1943482,0.077,0.0,0.534,1.009,0.494833,0.619435,2.55,2.55,(-)-Guaiol,True
31,15.21,15.178,15.29,106489,57216,1.861,11.558,V,23,Caryophyllene oxide,1.699,1888755,0.079,0.0,2.222,1.01,0.529297,0.650384,1.275,1.275,Caryophyllene Oxide,True
32,15.345,15.29,15.402,25334,8002,3.166,2.75,V,23,Caryophyllene oxide,1.723,846078,0.177,0.0,2.436,1.014,0.125921,0.0909623,0.303,0.303,Caryophyllene Oxide,True
33,15.504,15.402,15.542,204935,86981,2.356,45.099,V,24,(-)-alpha-Bisabolol,1.752,1494512,0.1,0.0,2.707,1.016,1.01861,0.98873,4.977,4.977,(-)-α-Bisabolol,True
34,15.692,15.542,15.962,1095285,122059,8.973,241.036,V,24,(-)-alpha-Bisabolol,1.785,75767,1.98,0.0,1.355,1.019,5.44402,1.38746,26.6,26.6,(-)-α-Bisabolol,True
