panel_id,panel_name,panel_active,sequence,assay_id,assay_name,priority,count,configured_order,detail_url
6,MN OCM Manufactured Final Products Compliance Panel,true,5,17,Listeria Monocytogenes,,,,https://ait.qbench.net/panel?id=6
6,MN OCM Manufactured Final Products Compliance Panel,true,6,20,Enterobacteriaceae,,,,https://ait.qbench.net/panel?id=6
7,MN OCM Manufactured Final Products Compliance Panel (Non-Liquid),true,1,2,Cannabinoid Potency,,,,https://ait.qbench.net/panel?id=7
7,MN OCM Manufactured Final Products Compliance Panel (Non-Liquid),true,2,9,Water Activity,,,,https://ait.qbench.net/panel?id=7
7,MN OCM Manufactured Final Products Compliance Panel (Non-Liquid),true,3,14,Aspergillus spp.,,,,https://ait.qbench.net/panel?id=7
7,MN OCM Manufactured Final Products Compliance Panel (Non-Liquid),true,4,15,Salmonella Species,,,,https://ait.qbench.net/panel?id=7
7,MN OCM Manufactured Final Products Compliance Panel (Non-Liquid),true,5,16,Shiga toxin-producing E. coli,,,,https://ait.qbench.net/panel?id=7
7,MN OCM Manufactured Final Products Compliance Panel (Non-Liquid),true,6,17,Listeria Monocytogenes,,,,https://ait.qbench.net/panel?id=7
7,MN OCM Manufactured Final Products Compliance Panel (Non-Liquid),true,7,20,Enterobacteriaceae,,,,https://ait.qbench.net/panel?id=7
8,Tribal/Out-of-State Conc/Products Panel,true,1,2,Cannabinoid Potency,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,2,3,Heavy Metals,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,3,4,Pesticides,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,4,5,Mycotoxins,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,5,7,Residual Solvents,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,6,9,Water Activity,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,7,12,Foreign Material,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,8,14,Aspergillus spp.,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,9,15,Salmonella Species,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,10,16,Shiga toxin-producing E. coli,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,11,17,Listeria Monocytogenes,,,,https://ait.qbench.net/panel?id=8
8,Tribal/Out-of-State Conc/Products Panel,true,12,20,Enterobacteriaceae,,,,https://ait.qbench.net/panel?id=8
9,Tribal/Out-of-State Flower Panel,true,1,2,Cannabinoid Potency,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,2,3,Heavy Metals,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,3,4,Pesticides,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,4,5,Mycotoxins,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,5,7,Residual Solvents,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,6,9,Water Activity,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,7,12,Foreign Material,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,8,14,Aspergillus spp.,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,9,15,Salmonella Species,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,10,16,Shiga toxin-producing E. coli,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,11,18,Total Aerobic Microbial,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,12,19,Total Yeast and Mold,,,,https://ait.qbench.net/panel?id=9
9,Tribal/Out-of-State Flower Panel,true,13,20,Enterobacteriaceae,,,,https://ait.qbench.net/panel?id=9
