automation_id,automation_name,action_sequence,action_type,destination_field_or_named_cell,source_expression_or_value,selected_values_json,all_nonempty_control_values_json,capture_state
17,Terpenes Batch to Test ws,11,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_11,"=VLOOKUP({{test.get_display_id()}},B2:AY87,19,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_11"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,19,0)""]",visible_configuration
17,Terpenes Batch to Test ws,12,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_12,"=VLOOKUP({{test.get_display_id()}},B2:AY87,20,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_12"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,20,0)""]",visible_configuration
17,Terpenes Batch to Test ws,13,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_13,"=VLOOKUP({{test.get_display_id()}},B2:AY87,21,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_13"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,21,0)""]",visible_configuration
17,Terpenes Batch to Test ws,14,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_14,"=VLOOKUP({{test.get_display_id()}},B2:AY87,22,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_14"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,22,0)""]",visible_configuration
17,Terpenes Batch to Test ws,15,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_15,"=VLOOKUP({{test.get_display_id()}},B2:AY87,23,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_15"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,23,0)""]",visible_configuration
17,Terpenes Batch to Test ws,16,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_16,"=VLOOKUP({{test.get_display_id()}},B2:AY87,24,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_16"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,24,0)""]",visible_configuration
17,Terpenes Batch to Test ws,17,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_17,"=VLOOKUP({{test.get_display_id()}},B2:AY87,25,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_17"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,25,0)""]",visible_configuration
17,Terpenes Batch to Test ws,18,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_18,"=VLOOKUP({{test.get_display_id()}},B2:AY87,26,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_18"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,26,0)""]",visible_configuration
17,Terpenes Batch to Test ws,19,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_19,"=VLOOKUP({{test.get_display_id()}},B2:AY87,27,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_19"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,27,0)""]",visible_configuration
17,Terpenes Batch to Test ws,20,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_20,"=VLOOKUP({{test.get_display_id()}},B2:AY87,28,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_20"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,28,0)""]",visible_configuration
17,Terpenes Batch to Test ws,21,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_21,"=VLOOKUP({{test.get_display_id()}},B2:AY87,29,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_21"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,29,0)""]",visible_configuration
17,Terpenes Batch to Test ws,22,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_22,"=VLOOKUP({{test.get_display_id()}},B2:AY87,30,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_22"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,30,0)""]",visible_configuration
17,Terpenes Batch to Test ws,23,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_23,"=VLOOKUP({{test.get_display_id()}},B2:AY87,31,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_23"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,31,0)""]",visible_configuration
17,Terpenes Batch to Test ws,24,Set value on all Test Worksheets within the Batch,sample_mass_g,"=VLOOKUP({{test.get_display_id()}},B2:AY87,6,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""sample_mass_g"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,6,0)""]",visible_configuration
17,Terpenes Batch to Test ws,25,Set value on all Test Worksheets within the Batch,df,"=VLOOKUP({{test.get_display_id()}},B2:AY87,7,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""df"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,7,0)""]",visible_configuration
17,Terpenes Batch to Test ws,26,Set value on all Test Worksheets within the Batch,df_application_mode,"=VLOOKUP({{test.get_display_id()}},B2:AY87,8,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""df_application_mode"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,8,0)""]",visible_configuration
16,Homogeneity - Pull potency mg/serving,1,Set value on Worksheet,mg_serving_1,"=IFERROR(VLOOKUP(Data!B10,'Potency Results Lookup'!$A:$P,MATCH(Data!$B$7,'Potency Results Lookup'!$A$1:$P$1,0),FALSE),"""")","[""Set value on Worksheet"",""Copy Value"",""From Worksheet""]","[""mg_serving_1"",""=IFERROR(VLOOKUP(Data!B10,'Potency Results Lookup'!$A:$P,MATCH(Data!$B$7,'Potency Results Lookup'!$A$1:$P$1,0),FALSE),\""\"")""]",visible_configuration
14,AC EB YM Batch to Test WS,1,Set value on all Test Worksheets within the Batch,ac_results,"=XLOOKUP({{test.get_display_id()}},Calculations!A2:A52,D2:D52,""not found"",0,1)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""ac_results"",""=XLOOKUP({{test.get_display_id()}},Calculations!A2:A52,D2:D52,\""not found\"",0,1)""]",visible_configuration
14,AC EB YM Batch to Test WS,2,Set value on all Test Worksheets within the Batch,eb_results,"=XLOOKUP({{test.get_display_id()}},Calculations!A53:A103,D53:D103,""not found"",0,1)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""eb_results"",""=XLOOKUP({{test.get_display_id()}},Calculations!A53:A103,D53:D103,\""not found\"",0,1)""]",visible_configuration
14,AC EB YM Batch to Test WS,3,Set value on all Test Worksheets within the Batch,ym_results,"=XLOOKUP({{test.get_display_id()}},Calculations!A104:A154,D104:D154,""not found"",0,1)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""ym_results"",""=XLOOKUP({{test.get_display_id()}},Calculations!A104:A154,D104:D154,\""not found\"",0,1)""]",visible_configuration
13,Listeria Batch to Test WS,1,Set value on all Test Worksheets within the Batch,lis_results,"=VLOOKUP({{test.get_display_id()}},Calculations!A2:E97,3,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""lis_results"",""=VLOOKUP({{test.get_display_id()}},Calculations!A2:E97,3,0)""]",visible_configuration
12,Salmonella Species & STEC Batch to Test WS,1,Set value on all Test Worksheets within the Batch,salmonella_results,"=XLOOKUP({{test.get_display_id()}},Calculations!A2:A97,Calculations!D2:D97,""not found"",0,1)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""salmonella_results"",""=XLOOKUP({{test.get_display_id()}},Calculations!A2:A97,Calculations!D2:D97,\""not found\"",0,1)""]",visible_configuration
12,Salmonella Species & STEC Batch to Test WS,2,Set value on all Test Worksheets within the Batch,stec_results,"=XLOOKUP({{test.get_display_id()}},Calculations!A98:A200,Calculations!D98:D200,""not found"",0,1)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""stec_results"",""=XLOOKUP({{test.get_display_id()}},Calculations!A98:A200,Calculations!D98:D200,\""not found\"",0,1)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,1,Set value on all Test Worksheets within the Batch,result_1,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 4, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_1"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 4, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,2,Set value on all Test Worksheets within the Batch,result_2,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 5, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_2"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 5, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,3,Set value on all Test Worksheets within the Batch,result_3,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 6, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_3"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 6, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,4,Set value on all Test Worksheets within the Batch,result_4,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 7, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_4"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 7, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,5,Set value on all Test Worksheets within the Batch,result_5,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 8, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_5"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 8, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,6,Set value on all Test Worksheets within the Batch,result_6,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 9, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_6"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 9, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,7,Set value on all Test Worksheets within the Batch,result_7,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 10, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_7"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 10, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,8,Set value on all Test Worksheets within the Batch,result_8,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 11, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_8"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 11, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,9,Set value on all Test Worksheets within the Batch,result_9,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 12, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_9"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 12, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,10,Set value on all Test Worksheets within the Batch,result_10,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 13, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_10"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 13, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,11,Set value on all Test Worksheets within the Batch,result_11,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 14, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_11"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 14, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,12,Set value on all Test Worksheets within the Batch,result_12,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 15, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_12"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 15, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,13,Set value on all Test Worksheets within the Batch,result_13,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 16, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_13"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 16, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,14,Set value on all Test Worksheets within the Batch,result_14,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 17, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_14"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 17, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,15,Set value on all Test Worksheets within the Batch,result_15,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 18, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_15"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 18, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,16,Set value on all Test Worksheets within the Batch,result_16,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 19, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_16"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 19, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,17,Set value on all Test Worksheets within the Batch,result_17,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 20, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_17"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 20, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,18,Set value on all Test Worksheets within the Batch,result_18,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 21, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_18"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 21, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,19,Set value on all Test Worksheets within the Batch,result_19,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 22, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_19"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 22, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,20,Set value on all Test Worksheets within the Batch,result_20,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 23, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_20"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 23, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,21,Set value on all Test Worksheets within the Batch,result_21,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 25, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_21"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 25, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,22,Set value on all Test Worksheets within the Batch,result_22,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 24, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_22"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 24, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,23,Set value on all Test Worksheets within the Batch,result_23,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 26, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_23"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 26, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,24,Set value on all Test Worksheets within the Batch,result_24,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 27, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_24"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 27, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,25,Set value on all Test Worksheets within the Batch,result_25,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 28, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_25"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 28, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,26,Set value on all Test Worksheets within the Batch,result_26,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 29, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_26"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 29, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,27,Set value on all Test Worksheets within the Batch,result_27,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 30, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_27"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 30, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,28,Set value on all Test Worksheets within the Batch,result_28,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 31, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_28"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 31, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,29,Set value on all Test Worksheets within the Batch,result_29,"=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 32, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""result_29"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:AG261, 32, FALSE)""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,30,Set value on all Test Worksheets within the Batch,df,"=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 3, FALSE)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""df"",""=VLOOKUP({{test.get_display_id()}}, Results!B59:Q261, 3, FALSE)""]",visible_configuration
10,Pesticide (Quantitative) Analysis,1,Set value on all Test Worksheets within the Batch,pest_quantitative_results,"=XLOOKUP({{test.get_display_id()}},B34:B200,D34:BT200,""not found"",0,1)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""pest_quantitative_results"",""=XLOOKUP({{test.get_display_id()}},B34:B200,D34:BT200,\""not found\"",0,1)""]",visible_configuration
9,Aspergillus Batch WS to Test WS,1,Set value on all Test Worksheets within the Batch,terreus_result,"=VLOOKUP({{test.get_display_id()}},Calculations!B2:J97,8,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terreus_result"",""=VLOOKUP({{test.get_display_id()}},Calculations!B2:J97,8,0)""]",visible_configuration
9,Aspergillus Batch WS to Test WS,2,Set value on all Test Worksheets within the Batch,niger_result,"=VLOOKUP({{test.get_display_id()}},Calculations!B2:J97,2,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""niger_result"",""=VLOOKUP({{test.get_display_id()}},Calculations!B2:J97,2,0)""]",visible_configuration
9,Aspergillus Batch WS to Test WS,3,Set value on all Test Worksheets within the Batch,flavus_result,"=VLOOKUP({{test.get_display_id()}},Calculations!B2:J97,4,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""flavus_result"",""=VLOOKUP({{test.get_display_id()}},Calculations!B2:J97,4,0)""]",visible_configuration
9,Aspergillus Batch WS to Test WS,4,Set value on all Test Worksheets within the Batch,fumigatus_result,"=VLOOKUP({{test.get_display_id()}},Calculations!B2:J97,6,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""fumigatus_result"",""=VLOOKUP({{test.get_display_id()}},Calculations!B2:J97,6,0)""]",visible_configuration
8,Pest Myco (Qualitative) Batch WS to Test WS,1,Set value on all Test Worksheets within the Batch,pesticides_results,"=XLOOKUP({{test.get_display_id()}},B34:B200,E34:BG200,""not found"",0,1)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""pesticides_results"",""=XLOOKUP({{test.get_display_id()}},B34:B200,E34:BG200,\""not found\"",0,1)""]",visible_configuration
8,Pest Myco (Qualitative) Batch WS to Test WS,2,Set value on all Test Worksheets within the Batch,mycotoxin_results,"=XLOOKUP({{test.get_display_id()}},B34:B200,BH34:BL200,""not found"",0,1)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""mycotoxin_results"",""=XLOOKUP({{test.get_display_id()}},B34:B200,BH34:BL200,\""not found\"",0,1)""]",visible_configuration
8,Pest Myco (Qualitative) Batch WS to Test WS,3,Set value on all Test Worksheets within the Batch,df,"=XLOOKUP({{test.get_display_id()}},B34:B200,D34:D200,""not found"",0,1)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""df"",""=XLOOKUP({{test.get_display_id()}},B34:B200,D34:D200,\""not found\"",0,1)""]",visible_configuration
6,Residual Solvents Batch WS to Test WS,1,Set value on all Test Worksheets within the Batch,residual_solvents_results,"=XLOOKUP({{test.get_display_id()}},B11:B96,E11:U96)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""residual_solvents_results"",""=XLOOKUP({{test.get_display_id()}},B11:B96,E11:U96)""]",visible_configuration
6,Residual Solvents Batch WS to Test WS,2,Set value on all Test Worksheets within the Batch,df,"=XLOOKUP({{test.get_display_id()}},B11:B96,D11:D96)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""df"",""=XLOOKUP({{test.get_display_id()}},B11:B96,D11:D96)""]",visible_configuration
4,Water Activity Batch WS to Test WS,1,Set value on all Test Worksheets within the Batch,wateractivityaw,"=VLOOKUP({{test.get_display_id()}},A1:C50,3,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""wateractivityaw"",""=VLOOKUP({{test.get_display_id()}},A1:C50,3,0)""]",visible_configuration
3,Mycotoxin (Quantitative) Batch WS to Test WS,1,Set value on all Test Worksheets within the Batch,aflatoxinb1,"=VLOOKUP({{test.get_display_id()}},B39:H177,3,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""aflatoxinb1"",""=VLOOKUP({{test.get_display_id()}},B39:H177,3,0)""]",visible_configuration
