configuration_id,item_name,category,inventory_type,units,size,active_state,resource_group_ids,source_page,lot_tracking_state,expiration_tracking_state,storage_location_state,reorder_configuration_state,minimum_stock_configuration_state,description,supplier_manufacturer_catalog,stock_balances,lots_transactions_attachments
250,CP - Mobile Phase A,Formulation,not_exposed,"[""mL""]","[""2000""]",not_exposed,[8],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
251,CP - Mobile Phase B,Formulation,not_exposed,"[""mL""]","[""5000""]",not_exposed,[8],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
177,CP - Unbuffered QuEChERS 5.0g,Consumables,not_exposed,"[""packs""]","[""50""]",not_exposed,"[6,8]",1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
178,CP - Unbuffered QuEChERS 7.5g,Consumables,not_exposed,"[""packs""]","[""50""]",not_exposed,[8],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
137,"Formic Acid, LCMS",Reagents,not_exposed,"[""mL""]","[""50""]",not_exposed,"[6,8,9]",2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
140,"Hexanes, ACS",Solvents,not_exposed,,,not_exposed,[],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
110,HM - 2.0% Nitric Acid Solution,Formulation,not_exposed,"[""mL""]","[""5100""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
143,HM - 4 HM Mix (ICV Stock),Reference Standards,not_exposed,"[""uL""]","[""100000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
118,HM - Arsenic (As) ICP Std,Reference Standards,not_exposed,"[""uL""]","[""500000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
122,HM - Cadmium (Cd) ICP Std,Reference Standards,not_exposed,"[""uL""]","[""500000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
221,HM - CAL1,Formulation,not_exposed,"[""mL""]","[""40""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
220,HM - CAL2,Formulation,not_exposed,"[""mL""]","[""40""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
219,HM - CAL3,Formulation,not_exposed,"[""mL""]","[""40""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
139,HM - CAL4,Formulation,not_exposed,"[""mL""]","[""40""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
222,HM - CCV,Formulation,not_exposed,"[""mL""]","[""40""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
138,HM - Gold ICP Calibration Std,Reference Standards,not_exposed,"[""uL""]","[""100000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
247,HM - I.C. Water,Solvents,not_exposed,"[""mL""]","[""5000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
147,HM - ICPMS Tuning Solution,Reference Standards,not_exposed,"[""mL""]","[""125""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
223,HM - ICV,Formulation,not_exposed,"[""mL""]","[""40""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
144,HM - ICV Dilution Solution (IDS),Formulation,not_exposed,"[""uL""]","[""10000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
148,HM - IS Working Solution,Formulation,not_exposed,"[""mL""]","[""1000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
154,HM - Lead (Pb) ICP Std,Reference Standards,not_exposed,"[""uL""]","[""500000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
155,HM - Mercury (Hg) ICP Std,Reference Standards,not_exposed,"[""uL""]","[""500000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
160,HM - Mixed Std Stock(MXS),Formulation,not_exposed,"[""uL""]","[""10000""]",not_exposed,[5],2,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
163,"HM - Nitric Acid, ~68%",Reagents,not_exposed,"[""mL""]","[""2500""]",not_exposed,[5],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
142,HM - Tuning Sol. (IS Stock),Reference Standards,not_exposed,"[""mL""]","[""125""]",not_exposed,[5],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
150,"Isopropyl Alcohol, 99%",Solvents,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
149,"Isopropyl Alcohol, LCMS",Solvents,not_exposed,"[""mL""]","[""4000""]",not_exposed,[8],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
153,LaCroix Beverage,Consumables,not_exposed,"[""mL""]","[""355""]",not_exposed,[8],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
157,"Methanol, HPLC",Solvents,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
158,"Methanol, LCMS",Solvents,not_exposed,"[""mL""]","[""4000""]",not_exposed,[6],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
262,Micro - 1.5mL Centrifuge Tubes,Consumables,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
303,"Micro - Agar Plate, Blood",Consumables,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
299,"Micro - Agar Plate, Blue Potato Dextrose",Consumables,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
301,"Micro - Agar Plate, MacConkey",Consumables,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
300,"Micro - Agar Plate, Potato Dextrose",Consumables,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
304,"Micro - Agar Plate, Tryptic Soy",Consumables,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
302,"Micro - Agar Plate, Xylose Lysine Deoxycholate",Consumables,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
289,Micro - Bioballs Candida Albicans Control,Consumables,not_exposed,"[""vials""]","[""20""]",not_exposed,[11],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
290,Micro - Bioballs Enterobacteria Klebsiella Aerogenes Control,Consumables,not_exposed,"[""vials""]","[""20""]",not_exposed,[11],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
288,Micro - Bioballs Escherichia Coli Control,Consumables,not_exposed,"[""vials""]","[""20""]",not_exposed,[11],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
267,Micro - Buffered Peptone H2O 225mL,Reagents,not_exposed,"[""mL""]","[""225""]",not_exposed,"[10,11]",3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
297,Micro - Buffered Peptone H2O Mix,Formulation,not_exposed,,,not_exposed,[],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
279,"Micro - Buffered Peptone H2O, Boxed",Reagents,not_exposed,"[""mL""]","[""5000, 10000, or 20000""]",not_exposed,[10],3,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
254,Micro - Chlortetracycline,Reagents,not_exposed,"[""vials""]","[""5""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
298,"Micro - Demi-Fraser w/ Supp, Boxed",Reagents,not_exposed,"[""mL""]","[""10000""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
255,Micro - Dicloran,Reagents,not_exposed,"[""g""]","[""100""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
292,Micro - DNA Control GENE-UP Aspergillus,,not_exposed,"[""vials""]","[""1""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
291,Micro - DNA Control Lysteria Monocytogenes,Consumables,not_exposed,"[""vials""]","[""1""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
293,Micro - DNA Control VERIFLOW E. Coli,Consumables,not_exposed,"[""vials""]","[""1""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
294,Micro - DNA Control VERIFLOW Salmonella,Consumables,not_exposed,"[""vials""]","[""1""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
259,Micro - GENE-UP Aspergillus Kit,Consumables,not_exposed,"[""tubes""]","[""24""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
256,Micro - GENE-UP Sal/STEC Kit,Consumables,not_exposed,"[""tubes""]","[""24""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
258,Micro - GENE-UP® L Mono. Kit,Consumables,not_exposed,"[""tubes""]","[""192""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
257,Micro - GENE-UP® Lysis Kit,Consumables,not_exposed,"[""tubes""]","[""192""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
253,Micro - LPT Broth,Reagents,not_exposed,"[""mL""]","[""225""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
264,Micro - PDB Powder,Reagents,not_exposed,"[""g""]","[""250""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
265,Micro - Peptone Salt Broth,Reagents,not_exposed,"[""tubes""]","[""100""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
285,Micro - Potato Dextrose + CTC + Dichloran 20L,Reagents,not_exposed,,,not_exposed,[],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
252,Micro - Potato Dextrose Broth,Reagents,not_exposed,"[""mL""]","[""1000""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
278,Micro - Potato Dextrose w/ CTC,Reagents,not_exposed,"[""mL""]","[""20000""]",not_exposed,[10],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
270,Micro - Tempo AC Cards,Consumables,not_exposed,"[""cards""]","[""48""]",not_exposed,[11],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
269,Micro - Tempo EB Cards,Consumables,not_exposed,"[""cards""]","[""48""]",not_exposed,[11],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
271,Micro - Tempo YM Cards,Consumables,not_exposed,"[""cards""]","[""48""]",not_exposed,[11],4,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
268,Micro - TempoBags,Consumables,not_exposed,,,not_exposed,[],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
272,"Micro - Water, Deionized Type II",Solvents,not_exposed,"[""mL""]","[""20000""]",not_exposed,[11],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
261,Micro - Whirl-Pak Bags 24oz.,Consumables,not_exposed,,,not_exposed,[],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
260,Micro - Whirl-Pak Bags 7oz.,Consumables,not_exposed,,,not_exposed,[],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
227,P/M - 1% Formic Acid ACN Sol.,Formulation,not_exposed,"[""mL""]","[""50.5""]",not_exposed,"[6,9]",5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
117,P/M - Ammonium Fluoride,Reagents,not_exposed,"[""g""]","[""50""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
225,P/M - Ammonium Formate,Consumables,not_exposed,"[""mg""]","[""25000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
119,P/M - Azadirachtin Std,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
126,P/M - Chlormequat Std,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
224,P/M - Mobile Phase A,Formulation,not_exposed,"[""mL""]","[""2000""]",not_exposed,"[6,9]",5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
226,P/M - Mycotoxin Mix (M Mix),Formulation,not_exposed,"[""uL""]","[""1000""]",not_exposed,[6],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
161,P/M - Mycotoxin Mixture 5 Std,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,"[6,9]",5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
167,P/M - Oregon Pesticide Std #1,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
168,P/M - Oregon Pesticide Std #2,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
169,P/M - Oregon Pesticide Std #3,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
170,P/M - Oregon Pesticide Std #4,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
171,P/M - Oregon Pesticide Std #5,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
172,P/M - Oregon Pesticide Std #6,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
248,P/M - Pest/Myco Mix (PM Mix),Formulation,not_exposed,"[""uL""]","[""12000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
249,P/M - Pesticide Mix (P Mix),Formulation,not_exposed,"[""uL""]","[""3000""]",not_exposed,[9],5,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
276,P/M - Raptor ARC-18 Column,Consumables,not_exposed,"[""columns""]","[""1""]",not_exposed,"[6,9]",6,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
