protocol_id,protocol_name,protocol_active_state,step_sequence,step_id,step_name,step_description,worksheet_id,worksheet_name,priority,protocol_detail_url
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,11,80,Cannabinoid Potency | Preparation of Concentrate Samples | Filter,,147,Cannabinoid Potency {Protocol WS} Preparation of Concentrate Samples Filter,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,12,71,Cannabinoid Potency | Preparation of Beverage Samples,,137,Cannabinoid Potency {Protocol WS} Preparation of Beverage Samples,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,13,72,Cannabinoid Potency | Preparation of Beverage Samples | QuEChERS,,138,Cannabinoid Potency {Protocol WS} Preparation of Beverage Samples QuEChERS,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,14,73,Cannabinoid Potency | Preparation of Beverage Samples | Extraction,,139,Cannabinoid Potency {Protocol WS} Preparation of Beverage Samples Extraction,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,15,66,Cannabinoid Potency | Preparation of Edible Samples,,132,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,16,67,Cannabinoid Potency | Preparation of Edible Samples | Vortex/Sonicate,,133,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples Vortex/Sonicate,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,17,68,Cannabinoid Potency | Preparation of Edible Samples | QuEChERS,,134,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples QuEChERS,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,18,69,Cannabinoid Potency | Preparation of Edible Samples | Centrifuge,,135,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples Centrifuge,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,19,70,Cannabinoid Potency | Preparation of Edible Samples | Filter,,136,Cannabinoid Potency {Protocol WS} Preparation of Edible Samples Filter,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,20,77,Sample Dilution,,143,Sample Dilution {Protocol WS},,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,21,18,Cannabinoid Potency | HPLC Setup and Measurement,"This protocol step is performing HPLC Setup and Measurement. It gives the steps from Cannabinoid Potency Assay SOP, Section 8.12.",37,Cannabinoid Potency {Protocol WS} HPLC Setup and Measurement,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,22,19,Cannabinoid Potency | Quality Control Requirements,"This protocol step is verifying all quality control requirements are meant. It gives the steps from Cannabinoid Potency Assay SOP, Section 8.13.",38,Cannabinoid Potency {Protocol WS} Quality Control Requirements,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,23,22,Cannabis/Hemp | Instrument Output and QBench Upload of Results,This protocol step holds instructions for our to obtain the output file from each cannabis instrument and how to upload into QBench. There is a tab for each instruement. There are also links to Loom recording showing how to perform these steps.,40,General {Protocol WS} Instrument Output and QBench Upload of Results,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,24,23,Cannabis/Hemp | Overall Chemist Review of Batch,This step holds a worksheet for steps to check after the batch is to complete to do a quality check on the overall batch and records within QBench.,41,Cannabis/Hemp {Protocol WS} Overall Chemist Review of Batch,,https://ait.qbench.net/protocol?id=4
14,[Batch] Gene Up Aspergillus Microbial Analysis Protocol,not_exposed_on_detail_page,1,11,Assigning Equipment Usage to Batch,Instructions on how to assign equipment to batch.,26,[Protocol Step WS] Assigning Equipment to Batch,,https://ait.qbench.net/protocol?id=14
14,[Batch] Gene Up Aspergillus Microbial Analysis Protocol,not_exposed_on_detail_page,2,12,Assigning Inventory Usage to Batch,Instructions on how to assign inventory used to batch.,27,[Protocol Step WS] Assigning Inventory to Batch,,https://ait.qbench.net/protocol?id=14
14,[Batch] Gene Up Aspergillus Microbial Analysis Protocol,not_exposed_on_detail_page,3,54,Gene Up Microbial Analysis | Aspergillus Enriched Broth Preparation,,88,Gene Up Microbial Analysis [Protocol] Worksheet Aspergillus Enriched Broth Preparation,,https://ait.qbench.net/protocol?id=14
14,[Batch] Gene Up Aspergillus Microbial Analysis Protocol,not_exposed_on_detail_page,4,55,Gene Up Microbial Analysis | Sample Preparation (Aspergillus),,90,Gene Up Microbial Analysis [Protocol] Worksheet Sample Preparation (Aspergillus),,https://ait.qbench.net/protocol?id=14
14,[Batch] Gene Up Aspergillus Microbial Analysis Protocol,not_exposed_on_detail_page,5,59,Gene Up Microbial Analysis | Sample Incubation,,96,Gene Up Microbial Analysis [Protocol] Worksheet Sample Incubation,,https://ait.qbench.net/protocol?id=14
14,[Batch] Gene Up Aspergillus Microbial Analysis Protocol,not_exposed_on_detail_page,6,60,Gene Up Microbial Analysis | Sample Enrichment (Aspergillus),,97,Gene Up Microbial Analysis [Protocol] Worksheet Sample Enrichment (Aspergillus),,https://ait.qbench.net/protocol?id=14
14,[Batch] Gene Up Aspergillus Microbial Analysis Protocol,not_exposed_on_detail_page,7,62,Gene Up Microbial Analysis | Gene Up PCR Program,,99,Gene Up Microbial Analysis [Protocol] Worksheet Gene Up PCR Program,,https://ait.qbench.net/protocol?id=14
14,[Batch] Gene Up Aspergillus Microbial Analysis Protocol,not_exposed_on_detail_page,8,23,Cannabis/Hemp | Overall Chemist Review of Batch,This step holds a worksheet for steps to check after the batch is to complete to do a quality check on the overall batch and records within QBench.,41,Cannabis/Hemp {Protocol WS} Overall Chemist Review of Batch,,https://ait.qbench.net/protocol?id=14
15,[Batch] Gene Up Listeria Microbial Analysis Protocol,not_exposed_on_detail_page,1,11,Assigning Equipment Usage to Batch,Instructions on how to assign equipment to batch.,26,[Protocol Step WS] Assigning Equipment to Batch,,https://ait.qbench.net/protocol?id=15
15,[Batch] Gene Up Listeria Microbial Analysis Protocol,not_exposed_on_detail_page,2,12,Assigning Inventory Usage to Batch,Instructions on how to assign inventory used to batch.,27,[Protocol Step WS] Assigning Inventory to Batch,,https://ait.qbench.net/protocol?id=15
15,[Batch] Gene Up Listeria Microbial Analysis Protocol,not_exposed_on_detail_page,3,58,Gene Up Microbial Analysis | Sample Preparation (Listeria),,92,Gene Up Microbial Analysis [Protocol] Worksheet Sample Preparation (Listeria),,https://ait.qbench.net/protocol?id=15
15,[Batch] Gene Up Listeria Microbial Analysis Protocol,not_exposed_on_detail_page,4,59,Gene Up Microbial Analysis | Sample Incubation,,96,Gene Up Microbial Analysis [Protocol] Worksheet Sample Incubation,,https://ait.qbench.net/protocol?id=15
15,[Batch] Gene Up Listeria Microbial Analysis Protocol,not_exposed_on_detail_page,5,61,Gene Up Microbial Analysis | Sample Lysis (Sal/ STEC and Listeria),,98,Gene Up Microbial Analysis [Protocol] Worksheet Sample Lysis (Sal/ STEC and Listeria),,https://ait.qbench.net/protocol?id=15
15,[Batch] Gene Up Listeria Microbial Analysis Protocol,not_exposed_on_detail_page,6,62,Gene Up Microbial Analysis | Gene Up PCR Program,,99,Gene Up Microbial Analysis [Protocol] Worksheet Gene Up PCR Program,,https://ait.qbench.net/protocol?id=15
15,[Batch] Gene Up Listeria Microbial Analysis Protocol,not_exposed_on_detail_page,7,23,Cannabis/Hemp | Overall Chemist Review of Batch,This step holds a worksheet for steps to check after the batch is to complete to do a quality check on the overall batch and records within QBench.,41,Cannabis/Hemp {Protocol WS} Overall Chemist Review of Batch,,https://ait.qbench.net/protocol?id=15
13,[Batch] Gene Up Salmonella & STEC Microbial Analysis,not_exposed_on_detail_page,1,11,Assigning Equipment Usage to Batch,Instructions on how to assign equipment to batch.,26,[Protocol Step WS] Assigning Equipment to Batch,,https://ait.qbench.net/protocol?id=13
13,[Batch] Gene Up Salmonella & STEC Microbial Analysis,not_exposed_on_detail_page,2,12,Assigning Inventory Usage to Batch,Instructions on how to assign inventory used to batch.,27,[Protocol Step WS] Assigning Inventory to Batch,,https://ait.qbench.net/protocol?id=13
13,[Batch] Gene Up Salmonella & STEC Microbial Analysis,not_exposed_on_detail_page,3,57,Gene Up Microbial Analysis | Sample Preparation (Sal/ STEC),,91,Gene Up Microbial Analysis [Protocol] Worksheet Sample Preparation (Sal/ STEC),,https://ait.qbench.net/protocol?id=13
13,[Batch] Gene Up Salmonella & STEC Microbial Analysis,not_exposed_on_detail_page,4,59,Gene Up Microbial Analysis | Sample Incubation,,96,Gene Up Microbial Analysis [Protocol] Worksheet Sample Incubation,,https://ait.qbench.net/protocol?id=13
13,[Batch] Gene Up Salmonella & STEC Microbial Analysis,not_exposed_on_detail_page,5,61,Gene Up Microbial Analysis | Sample Lysis (Sal/ STEC and Listeria),,98,Gene Up Microbial Analysis [Protocol] Worksheet Sample Lysis (Sal/ STEC and Listeria),,https://ait.qbench.net/protocol?id=13
13,[Batch] Gene Up Salmonella & STEC Microbial Analysis,not_exposed_on_detail_page,6,62,Gene Up Microbial Analysis | Gene Up PCR Program,,99,Gene Up Microbial Analysis [Protocol] Worksheet Gene Up PCR Program,,https://ait.qbench.net/protocol?id=13
13,[Batch] Gene Up Salmonella & STEC Microbial Analysis,not_exposed_on_detail_page,7,23,Cannabis/Hemp | Overall Chemist Review of Batch,This step holds a worksheet for steps to check after the batch is to complete to do a quality check on the overall batch and records within QBench.,41,Cannabis/Hemp {Protocol WS} Overall Chemist Review of Batch,,https://ait.qbench.net/protocol?id=13
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,1,11,Assigning Equipment Usage to Batch,Instructions on how to assign equipment to batch.,26,[Protocol Step WS] Assigning Equipment to Batch,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,2,12,Assigning Inventory Usage to Batch,Instructions on how to assign inventory used to batch.,27,[Protocol Step WS] Assigning Inventory to Batch,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,3,24,"Heavy Metals | Preparation of the Blank, Fortified Blank, Matrix, and Matrix Spike Solutions","This protocol step is to document the Preparation of the Blank, Fortified Blank, Matrix, and Matrix Spike Solutions. It gives the steps from Heavy Metals Analysis in Cannabis and Cannabis Products SOP, Section 8.7.",46,"Heavy Metals [Protocol WS] Preparation of the Blank, Fortified Blank, Matrix, and Matrix Spike Solutions",,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,4,25,Heavy Metals | Preparation of Samples Prior to Digestion,"This protocol step is to document the Preparation of Heavy Metals Samples prior to digestion. It gives the steps from Heavy Metals Analysis in Cannabis and Cannabis Products SOP, Section 8.8.",47,Heavy Metals [Protocol WS] Preparation of Samples Prior to Digestion,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,5,27,Heavy Metals | Digestion of Samples,"This protocol step is to document that the samples are IN the microwave digestor. Set to In Progress once the digestion process is started. From Heavy Metals Analysis in Cannabis and Cannabis Products SOP, Section 8.8.",,,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,6,26,Heavy Metals | Preparation of Samples After Digestion,"This protocol step is to document the Preparation of Heavy Metals Samples after digestion. It gives the steps from Heavy Metals Analysis in Cannabis and Cannabis Products SOP, Section 8.8.",48,Heavy Metals [Protocol WS] Preparation of Samples After Digestion,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,7,28,Heavy Metals | Instrument Setup,"This protocol step is to document the ICP-MS Setup and Measurement. It gives the steps from Heavy Metals Analysis in Cannabis and Cannabis Products SOP, Section 8.9.",49,Heavy Metals [Protocol WS] Instrument Setup,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,8,29,Heavy Metals | Analysis Elements and Mass Registration & Assay,"This protocol step is to document the analysis elements and mass registration. It gives the steps from Heavy Metals Analysis in Cannabis and Cannabis Products SOP, Section 8.10 and 8.11.",50,Heavy Metals [Protocol WS] Analysis Elements and Mass Registration & Assay,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,9,30,Heavy Metals | Quality Control Requirements,"This protocol step is to document quality control requirements. It gives the steps from Heavy Metals Analysis in Cannabis and Cannabis Products SOP, Section 8.12.",51,Heavy Metals [Protocol WS] Quality Control Requirements,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,10,31,Heavy Metals | Calculations and Reporting of Results,"This protocol step is to document the calculations and reporting of results. It gives the steps from Heavy Metals Analysis in Cannabis and Cannabis Products SOP, Section 8.13.",53,Heavy Metals [Protocol WS] Calculating and Reporting of Results,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,11,22,Cannabis/Hemp | Instrument Output and QBench Upload of Results,This protocol step holds instructions for our to obtain the output file from each cannabis instrument and how to upload into QBench. There is a tab for each instruement. There are also links to Loom recording showing how to perform these steps.,40,General {Protocol WS} Instrument Output and QBench Upload of Results,,https://ait.qbench.net/protocol?id=2
2,[Batch] Heavy Metals Protocol,not_exposed_on_detail_page,12,23,Cannabis/Hemp | Overall Chemist Review of Batch,This step holds a worksheet for steps to check after the batch is to complete to do a quality check on the overall batch and records within QBench.,41,Cannabis/Hemp {Protocol WS} Overall Chemist Review of Batch,,https://ait.qbench.net/protocol?id=2
11,[Batch] Homogeneity Protocol,not_exposed_on_detail_page,1,45,Homogeneity | Pre-Conditions & QBench Setup,This protocol step stores instructions on how to handle homogeneity testing for MN OCM for the Pre-Conditions and QBench Setup.,69,Homogeneity [Protocol WS] Pre-Conditions & QBench Setup,1,https://ait.qbench.net/protocol?id=11
11,[Batch] Homogeneity Protocol,not_exposed_on_detail_page,2,47,Homogeneity | Sub-Sampling,This Protocol step goes over section 9.0 Sampling Expectation of the MN OCM Homogeneity Testing SOP.,70,Homogeneity [Protocol WS] Sub-Sampling,2,https://ait.qbench.net/protocol?id=11
11,[Batch] Homogeneity Protocol,not_exposed_on_detail_page,3,46,Homogeneity | Run Cannabinoid Potency Tests,This protocol step goes over the process set forth in section 10.0 of the MN OCM Homogeneity Testing SOP.,71,Homogeneity [Protocol WS] Run Cannabinoid Potency Tests,3,https://ait.qbench.net/protocol?id=11
11,[Batch] Homogeneity Protocol,not_exposed_on_detail_page,4,44,Homogeneity | Homogeneity Evaluation & Reporting,This protocol step goes over the process set forth in section 11.0 of the MN OCM Homogeneity Testing SOP.,72,Homogeneity [Protocol WS] Homogeneity Evaluation & Reporting,4,https://ait.qbench.net/protocol?id=11
5,[Batch] Microbials Protocol,not_exposed_on_detail_page,,,,,,,,https://ait.qbench.net/protocol?id=5
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,1,11,Assigning Equipment Usage to Batch,Instructions on how to assign equipment to batch.,26,[Protocol Step WS] Assigning Equipment to Batch,,https://ait.qbench.net/protocol?id=8
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,2,12,Assigning Inventory Usage to Batch,Instructions on how to assign inventory used to batch.,27,[Protocol Step WS] Assigning Inventory to Batch,,https://ait.qbench.net/protocol?id=8
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,3,41,Mycotoxin | Preparation of Lab Controls,"This protocol step is to document the preparation of lab control samples purposes. It gives the steps from Mycotoxin Analysis SOP, Section 8.5.",60,Mycotoxins [Protocol WS] Preparation of Lab Control Samples,,https://ait.qbench.net/protocol?id=8
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,4,43,Mycotoxin | Preparation of Sample | Weigh and Vortex,"This protocol step is to document the sample preparation of weighing and vortexing steps. It gives the steps from Mycotoxin Analysis SOP, Section 8.6.1 through 8.6.5.",61,Mycotoxins [Protocol WS] Preparation of Sample | Weigh & Vortex,,https://ait.qbench.net/protocol?id=8
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,5,42,Mycotoxin | Preparation of Sample | Centrifuge & Positive Pressure,"This protocol step is to document the sample preparation of centrifuging and positive pressure manifold steps. It gives the steps from Mycotoxin Analysis SOP, Section 8.6.6 through 8.6.11.",62,Mycotoxins [Protocol WS] Preparation of Sample | Centrifuge & Positive Pressure,,https://ait.qbench.net/protocol?id=8
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,6,40,Mycotoxin | Preparation of Standards,"This protocol step is to document the sample preparation of standards. It gives the steps from Mycotoxin Analysis SOP, Section 8.7.",63,Mycotoxin [Protocol WS] Preparation of Standards,,https://ait.qbench.net/protocol?id=8
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,7,39,Mycotoxin | LC-MS/MS Setup and Measurement,"This protocol step is to document the LC-MS/MS Setup and Measurement steps. It gives the steps from Mycotoxin Analysis SOP, Section 8.8.",64,Mycotoxin [Protocol WS] LC-MS/MS Setup and Measurement,,https://ait.qbench.net/protocol?id=8
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,8,38,Mycotoxin | Laboratory Controls,"This protocol step is to document the laboratory control requirements. It gives the steps from Mycotoxin Analysis SOP, Section 8.10.",65,Mycotoxin [Protocol WS] Laboratory Controls,,https://ait.qbench.net/protocol?id=8
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,9,22,Cannabis/Hemp | Instrument Output and QBench Upload of Results,This protocol step holds instructions for our to obtain the output file from each cannabis instrument and how to upload into QBench. There is a tab for each instruement. There are also links to Loom recording showing how to perform these steps.,40,General {Protocol WS} Instrument Output and QBench Upload of Results,,https://ait.qbench.net/protocol?id=8
8,[Batch] Mycotoxin (Quantitative) Protocol,not_exposed_on_detail_page,10,23,Cannabis/Hemp | Overall Chemist Review of Batch,This step holds a worksheet for steps to check after the batch is to complete to do a quality check on the overall batch and records within QBench.,41,Cannabis/Hemp {Protocol WS} Overall Chemist Review of Batch,,https://ait.qbench.net/protocol?id=8
7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,not_exposed_on_detail_page,1,11,Assigning Equipment Usage to Batch,Instructions on how to assign equipment to batch.,26,[Protocol Step WS] Assigning Equipment to Batch,,https://ait.qbench.net/protocol?id=7
7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,not_exposed_on_detail_page,2,12,Assigning Inventory Usage to Batch,Instructions on how to assign inventory used to batch.,27,[Protocol Step WS] Assigning Inventory to Batch,,https://ait.qbench.net/protocol?id=7
7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,not_exposed_on_detail_page,3,51,Pest Myco (Qualitative) | Preparation of Laboratory Control Samples,"This protocol step is to document the preparation of lab control samples purposes. It gives the steps from Pesticide and Mycotoxin Screening Assay SOP, Section 8.4.",74,Pest Myco Qualitative [Protocol WS] Preparation of Laboratory Control Samples,,https://ait.qbench.net/protocol?id=7
7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,not_exposed_on_detail_page,4,52,Pest Myco (Qualitative) | Preparation of Samples,"This protocol step is to document the sample preparation of samples. It gives the steps from Pesticide and Mycotoxin Screening Assay SOP, Section 8.5.",75,Pest Myco Qualitative [Protocol WS] Preparation of Samples,,https://ait.qbench.net/protocol?id=7
7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,not_exposed_on_detail_page,5,50,Pest Myco (Qualitative) | LC-MS/MS Setup and Measurement,"This protocol step is to document the LC-MS/MS Setup and Measurement steps. It gives the steps from Pesticide and Mycotoxin Screening Assay SOP, Section 8.6.",76,Pest Myco [Protocol WS] LC-MS/MS Setup and Measurement,,https://ait.qbench.net/protocol?id=7
7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,not_exposed_on_detail_page,6,49,Pest Myco (Qualitative) | Laboratory Control Requirements,"This protocol step is to document the laboratory control requirements. It gives the steps from Pesticide and Mycotoxin Screening Assay SOP, Section 8.8.",78,Pest Myco (Qualitative) [Protocol WS] Laboratory Control Requirements,,https://ait.qbench.net/protocol?id=7
7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,not_exposed_on_detail_page,7,48,Pest Myco (Qualitative) | Calculations and Reporting of Results,"This protocol step is to document the calculations and reporting of results. It gives the steps from Pesticide and Mycotoxin Screening Assay SOP, Section 8.9.",79,Pest Myco (Qualitative) [Protocol WS] Calculations and Reporting of Results,,https://ait.qbench.net/protocol?id=7
7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,not_exposed_on_detail_page,8,22,Cannabis/Hemp | Instrument Output and QBench Upload of Results,This protocol step holds instructions for our to obtain the output file from each cannabis instrument and how to upload into QBench. There is a tab for each instruement. There are also links to Loom recording showing how to perform these steps.,40,General {Protocol WS} Instrument Output and QBench Upload of Results,,https://ait.qbench.net/protocol?id=7
7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,not_exposed_on_detail_page,9,23,Cannabis/Hemp | Overall Chemist Review of Batch,This step holds a worksheet for steps to check after the batch is to complete to do a quality check on the overall batch and records within QBench.,41,Cannabis/Hemp {Protocol WS} Overall Chemist Review of Batch,,https://ait.qbench.net/protocol?id=7
12,[Batch] Quantitative Pesticide in Cannabis Flower Protocol,not_exposed_on_detail_page,1,11,Assigning Equipment Usage to Batch,Instructions on how to assign equipment to batch.,26,[Protocol Step WS] Assigning Equipment to Batch,,https://ait.qbench.net/protocol?id=12
12,[Batch] Quantitative Pesticide in Cannabis Flower Protocol,not_exposed_on_detail_page,2,12,Assigning Inventory Usage to Batch,Instructions on how to assign inventory used to batch.,27,[Protocol Step WS] Assigning Inventory to Batch,,https://ait.qbench.net/protocol?id=12
12,[Batch] Quantitative Pesticide in Cannabis Flower Protocol,not_exposed_on_detail_page,3,82,Pest (Quantitative Flower) | Preparation of Lab Control Samples | Sample Preparation 1,,150,Pest (Quantitative Flower) [Protocol WS] Preparation of Lab Control Samples | Sample Preparation 1,,https://ait.qbench.net/protocol?id=12
12,[Batch] Quantitative Pesticide in Cannabis Flower Protocol,not_exposed_on_detail_page,4,83,Pest (Quantitative Flower) | Preparation of Samples | Sample Preparation 1,,151,Pest (Quantitative Flower) [Protocol WS] Preparation of Samples | Sample Preparation 1,,https://ait.qbench.net/protocol?id=12
12,[Batch] Quantitative Pesticide in Cannabis Flower Protocol,not_exposed_on_detail_page,5,84,Pest (Quantitative Flower) | Preparation of Standards | Sample Preparation 1,,152,Pest (Quantitative Flower) [Protocol WS] Preparation of Standards | Sample Preparation 1,,https://ait.qbench.net/protocol?id=12
12,[Batch] Quantitative Pesticide in Cannabis Flower Protocol,not_exposed_on_detail_page,6,85,Pest (Quantitative Flower) | Preparation of Lab Control Samples | Sample Preparation 2,,153,Pest (Quantitative Flower) [Protocol WS] Preparation of Lab Control Samples | Sample Preparation 2,,https://ait.qbench.net/protocol?id=12
12,[Batch] Quantitative Pesticide in Cannabis Flower Protocol,not_exposed_on_detail_page,7,86,Pest (Quantitative Flower) | Preparation of Samples | Sample Preparation 2,,154,Pest (Quantitative Flower) [Protocol WS] Preparation of Samples | Sample Preparation 2,,https://ait.qbench.net/protocol?id=12
12,[Batch] Quantitative Pesticide in Cannabis Flower Protocol,not_exposed_on_detail_page,8,87,Pest (Quantitative Flower) | Preparation of Standards | Sample Preparation 2,,155,Pest (Quantitative Flower) [Protocol WS] Preparation of Standards | Sample Preparation 2,,https://ait.qbench.net/protocol?id=12
